"title","Street Tree Planting"
"copyright","Copyright (c) 2022 NYC Department of Parks and Recreation"
"link","http://nyc.gov/parks/treework"
"description","NYC Department of Parks and Recreation"
"language","en-us"
"lastBuildDate","2022-08-15 00:49:46"
"note","The raw data contained here may be displayed differently than what appears on the Tree Work Hub reports at nyc.gov/parks/treework, due to post-processing of the data to make it readable for the web (e.g. updated addresses, entries not displayed due to missing addresses, reformatted dates, etc.)."
"lng","lat","Borough","ZipCode","BuildingNumber","StreetName","FiscalYear","PlantingSpaceID","CommunityBoard","PlantingSeason","CityCouncil","TreeID","WOId","WOStatus","CompletedDate"
" -73.70950341","40.74033958","Queens","11004","82-030","260 STREET","0","148027","413","05/31/2022","23","114029","15525248","Completed","2021-12-07 00:00:00"
" -73.95400786","40.81463434","Manhattan","10027","464","WEST 129 STREET","0","156427","109","05/31/2022","7","0","16644663","Not Completed",""
" -73.71298420","40.73542774","Queens","11001","254-04","84 ROAD","0","177638","413","05/31/2022","23","142438","8573730","Completed","2021-12-07 00:00:00"
" -73.95791218","40.81544329","Manhattan","0","567","DR M L KING JR BOULEVARD","0","216545","109","05/31/2022","0","183762","13809561","Not Completed",""
" -73.89458647","40.72969599","Queens","11378","69-26","53 DRIVE","0","200074","405","05/31/2022","30","163302","6529475","Completed","2022-05-25 00:00:00"
" -73.87628355","40.82816457","Bronx","10472","1155","MANOR AVENUE","0","191641","209","05/31/2022","18","0","14343624","Not Completed",""
" -73.95218685","40.79967831","Manhattan","10026","37","MALCOLM X BOULEVARD","0","178031","110","05/31/2022","9","143233","9138879","Not Completed",""
" -73.93927197","40.81926829","Manhattan","10030","143","WEST 142 STREET","0","226994","110","05/31/2022","9","0","9364010","Not Completed",""
" -74.00011441","40.73881657","Manhattan","10011","211","WEST  14 STREET","0","242806","104","05/31/2022","3","207143","13402269","Not Completed",""
" -73.95487946","40.80162531","Manhattan","10026","230","WEST 113 STREET","0","239616","110","05/31/2022","9","0","18029582","Not Completed",""
" -73.87623072","40.82789617","Bronx","10472","1147","MANOR AVENUE","0","260619","209","05/31/2022","18","0","14343627","Not Completed",""
" -73.70533752","40.75324323","Queens","11040","76-029","271 STREET","0","242047","413","05/31/2022","23","206791","16850635","Not Completed",""
" -73.92629176","40.77010475","Queens","11102","21-27","29 AVENUE","0","265073","401","05/31/2022","22","0","14151590","Completed","2022-03-07 00:00:00"
" -73.95052783","40.81153977","Manhattan","10027","302","WEST 127 STREET","0","276341","110","05/31/2022","9","0","16681439","Not Completed",""
" -74.00192767","40.67294832","Brooklyn","11231","183","LORRAINE STREET","0","281278","306","05/31/2022","38","5665532","10223972","Not Completed",""
" -74.00817951","40.67469629","Brooklyn","0","34","LORRAINE STREET","0","277994","306","05/31/2022","0","5025412","8617279","Completed","2021-04-27 00:00:00"
" -73.82683568","40.66987676","Queens","11420","135-055","114 STREET","0","279236","410","05/31/2022","32","0","17381786","Not Completed",""
" -74.01642919","40.67630957","Brooklyn","11231","252","CONOVER STREET","0","279250","306","05/31/2022","38","5663128","637906","Completed","2021-04-27 00:00:00"
" -73.92854061","40.76020576","Queens","11106","29-06","34 AVENUE","0","282200","401","05/31/2022","26","0","9466972","Completed","2022-03-07 00:00:00"
" -73.95156558","40.82188779","Manhattan","10031","520","WEST 139 STREET","0","296316","109","05/31/2022","7","4611657","7635140","Not Completed",""
" -73.96311689","40.76208229","Manhattan","10065","1166","2 AVENUE","0","282287","108","05/31/2022","5","0","15585821","Not Completed",""
" -73.96478921","40.76705190","Manhattan","10065","897","LEXINGTON AVENUE","0","299375","108","05/31/2022","4","4940271","11268392","Not Completed",""
" -74.01234696","40.70256903","Manhattan","10004","1","WATER STREET","0","305165","101","05/31/2022","1","0","16563911","Not Completed",""
" -73.93789761","40.81869253","Manhattan","10030","641","LENOX AVENUE","0","295960","110","05/31/2022","9","0","18515395","Not Completed",""
" -73.95814353","40.80433319","Manhattan","10026","6","MORNINGSIDE AVENUE","0","305964","110","05/31/2022","9","5781170","18035769","Not Completed",""
" -73.97579732","40.79458298","Manhattan","10025","214","RIVERSIDE DRIVE","0","306679","107","05/31/2022","6","4610293","16173280","Not Completed",""
" -73.94544424","40.82759278","Manhattan","10031","466","WEST 149 STREET","0","297856","109","05/31/2022","7","0","18264121","Not Completed",""
